Student<br>xué.shēng	學生
Today<br>jīntiān	今天
Very<br>hěn	很
Good, fine, well<br>hǎo	好
Not <br>bù	不
Cold<br>lěng	冷
Both, all<br>dōu	都
Happy <br>gāoxìng	高興
To be<br>shì	是
America<br>Měiguó	美國
He; him<br>tā	他
To have<br>yǒu	有
Many; a lot<br>duō	多
One <br>yī	一
General Measure Word<br>gè	個
China <br>Zhōngguó	中國
To be surnamed<br>xìng	姓
To be named; to be called<br>jiào	叫
Person<br>rén	人
Chinese Language<br>Zhōngwén	中文
Friend<br>péng.yǒu	朋友
Chinese Surname<br>Wáng	王
Place<br>dì.fāng	地方
Possessive Marker<br>de	的
You<br>nǐ	你
You, polite<br>nín	您
You, plural<br>nǐ.men	你們
I; me<br>wǒ	我
Also; too; as well<br>yě	也
Truly<br>zhēn	真
Too<br>tài	太
To want<br>xiǎng	想
To know a fact<br>zhī.dào	知道
To know a person<br>rèn.shí	認識
And; along with<br>gēn	跟
But<br>kěshì	可是
Particle used for inquiry<br>ne	呢
Particle used for uncertainty, suggestion, presumption<br>ba	吧
Particle used as a question marker<br>ma	嗎
What; what kind of <br>shénme	甚麽
Dialogue <br>duìhuà	對話
Comfortable <br>Shū.fú	舒服
Correct <br>duì	對
Particle used to show agreement ya	呀
Hello <br>Nǐhǎo	你好
Is it correct? <br>duìbuduì?	對不對
Goodbye <br>Zàijiàn	再見
To go to class<br>shàngkè	上課
The first <br>dìyī	第一
Day <br>tiān	天
Teacher<br>lǎoshī	老師
Class<br>bān	辦
Name<br>míng.zì	名字
Everybody<br>dàjiā	大家
Elder Brother<br>gē.gē	哥哥
Younger Brother<br>dì.dì	弟弟
Overseas Chinese<br>huáyì	華裔
Excited<br>xīngfèn	興奮
Gentle and Nice<br>héqi	和氣
Good looking<br>hǎokàn	好看
Same<br>yíyàng	一樣
Strange<br>qíguài	奇怪
Just; then; only<br>jiù	就
To feel; think<br>juéde	覺得
Would like to have<br>xiǎngyào	想要
To speak; to talk<br>Shuōhuà	説話
Can; know how to do<br>huì	會
Because<br>yīn.wèi	因爲
Therefore<br>suǒyǐ	所以
And<br>hé	和
Ordinal numbers<br>dì	第
Which<br>nǎ; něi	哪
That<br>nà; nèi	那
Particle showing surprise<br>ya	呀
Particle indicating change of state<br>le	了
Thank you<br>xiè.xiè	謝謝
Chinese Name Wényīng	文英
Surname Lǐ	李
Chinese Name Jiāqí	家奇
Chinese Name Jiāxīng	家興
family jiārén	家人
Sound of laughter haha	哈哈
They/them tāmen	他們
We/us wǒmen	我們
She/her tā	她
France Fǎguó	法國
Italy Yìdàlì	意大利
Germany Déguó	德國
Korea Hánguó	韓國
Japan Rìběn	日本
Canada Jiānádà	加拿大
Turkey Tǔ'ěrqí	土耳其
Australia àodàlìyà	澳大利亞
Want to xiǎng	想
To want yào	要
To learn; study xué	學
It is you! Shì nǐmenya!	是你們呀！
How are you? Nǐhǎoma?	你好嗎？
Doctor<br>yīshēng	醫生
Graduate student<br>yánjiūshēng	研究生
College; university<br>dàxué	大學
Newspaper<br>bào	報
TV<br>diànshì	電視
Food; meal<br>fàn	飯
The youngest child<br>lǎoxiǎo	老小
Younger sister<br>mèi.mei	妹妹
The first child<br>lǎodà	老大
Business<br>shēng.yì	生意
Family<br>jiātíng	家庭
Question<br>wèntí	問題
Dog<br>gǒu	狗
Close relative<br>qīnrén	親人
Baby<br>bǎo.bǎo	寶寶
Sweetheart<br>bǎobèi	寶貝
Grandson<br>sūn.zi	孫子
Things (to do)<br>shì.qíng	事情
Money<br>qián	錢
Laborious<br>xīnkǔ	辛苦
Smart<br>cōng.míng	聰明
Being rich<br>yǒuqián	有錢
Young<br>xiǎo	小
Adorable; lovely<br>kěài	可愛
Happy<br>xìng.fú	幸福
To be at/in/on<br>zài	在
Evening<br>wǎn.shàng	晚上
Never<br>cónglái(bu)	從來(不)
Especially<br>tèbié	特別
Definitely; must<br>yídìng	一定
Often<br>cháng(cháng)	常(常)
Together<br>yìqǐ	一起
To eat<br>chī	吃
To take care of; to look after<br>zhàogù	照顧
Please<br>qǐng	請
to read; to look<br>kàn	看
Will <br>yào	要
To introduce<br>jièshào	介紹
May<br>kěyǐ	可以
To love<br>ài	愛
Although<br>suīrán	雖然
MW for people, polite<br>wèi	位
A sound made for sarcastic laughter<br>hēihēi	嘿嘿
A sound made to show surprise<br>hē	呵
Why<br>wèishénme	爲甚麽
Who wants to do it first?<br>Shéixiānlái	誰先來
Thank you all<br>xiè.xiè dàjiā	謝謝大家
I got it<br>wǒmíng.báile	我明白了
You two (honorable guests)<br>èr wèi	二位
Father fù.qīn	父親
Mother mǔ.qīn	母親
Elder sister jiě.jiě	姐姐
Work; job gōngzuò	工作
Dad bà.ba	爸爸
Mom mā.ma	媽媽
Music yīnyuè	音樂
Grandfather (paternal) yé.yé	爺爺
Grandmother (paternal) nǎi.nai	奶奶
Son érzi	兒子
Daughter nǚ'ér	女兒
Each měi	每
This zhè/zhèi	這
Busy máng	忙
Tired lèi	累
Delicious hǎochī	好吃
Not enough búguò	不過
Clear míng.bái	明白
Self zìjǐ	自己
Furthermore; in addition; again yòu	又
A little bit yíxià	一下
First xiān	先
Altogether (in total, followed by #) yígòng	一共
Only zhǐ	只
To hire; to treat or invite somebody qǐngrén	情人
To make; do zuò	做
Can (physically able, allowed) néng	能
To come lái	來
To ask wèn	問
to teach jiāo	教
Mouth; MW for family members kǒu	口
Who; whom shéi/shuí	誰
How many (for #s less than 10) jǐ	幾
wǔ/five	五
kǒu/MW for population	口
fùqin/father	父親
mǔqin/mother	母親
jiějie/older sister	姐姐
yīshēng/doctor	醫生
yánjiūshēng/graduate student	研究生
dàxuéshēng/college student	大學生
gōngzuò/work, a job	工作
