校园～校園	xiàoyuán<br>campus, schoolyard
首都	shǒudū<br>capital city
机场～機場	jīchǎng<br>airport
接	jiē<br>to pick up someone
顺利～順利	shùnlì<br>smoothly
精神	jīngshen<br>spirit, energy
海关～海關	hǎiguān<br>customs
没想到	méixiǎngdào<br>to have not expected, have not thought of
现代化～現代化	xiàndàihuà<br>modernization
不但	búdàn<br>not only
干净～乾淨	gānjìng<br>clean
而且	érqiě<br>but also
非常	fēicháng<br>very, highly, extraordinarily
取	qǔ<br>to take, get, obtain
行李	xíngli<br>luggage
速度	sùdù<br>speed, rate, velocity
特别	tèbié<br>unusual, special, especially
熟悉	shúxī<br>familiar, to know someone or something well
像	xiàng<br>to be like, to seem
兴奋～興奮	xīngfèn<br>elated, excited, excitation
康书林～康書林	Kāng Shūlín<br>male name
李月珊	Lǐ Yuèshān<br>female name
空气～空氣	kōngqì<br>air
糟糕	zāogāo<br>terrible
留学生~留學生	liúxuéshēng<br>student studying abroad, international student
大巴	dàbā<br>bus
明白	míngbái<br>clear; to understand; to realize
想不到	xiǎngbudào<br>to never expect, unexpectedly, unable to anticipate
封	fēng<br>measure word for letters
亲爱～親愛	qīn'ài<br>dear, beloved
公园～公園	gōngyuán<br>park
山	shān<br>mountain
湖	hú<br>lake
桥～橋	qiáo<br>bridge
风景～風景	fēngjǐng<br>scenery
极了～極了	jíle<br>extremely, very
楼房～樓房	lóufāng<br>storied building
传统～傳統	chuántǒng<br>traditional, tradition, convention
建筑～建築	jiànzhù<br>architecture, building
古色古香	gǔ sè gǔ xiāng<br>of ancient style and flavor
却～卻	què<br>but, yet
宿舍	sùshè<br>dorm
屋子	wūzi<br>room
书桌～書桌	shūzhuō<br>desk
台灯～檯燈	táidēng<br>desk lamp, reading lamp
空调～空調	kōngtiáo<br>air conditioner
冰箱	bīngxiāng<br>fridge
洗手间～洗手間	xǐshǒujiān<br>bathroom
不用	búyòng<br>need not
收拾	shōushi<br>to put in order, tidy, clear up
服务员～服務員	fúwùyuán<br>attendant, steward, waiter
房间～房間	fángjiā<br>room
打扫～打掃	dǎsǎo<br>to clean, sweep
一切	yíqiè<br>all, every, everything
水龙头～水龍頭	shuǐlóngtóu<br>tap, faucet, hydrant
烧开～燒開	shāokāi<br>to boil
夏天	xiàtiān<br>summer
冬天	dōngtiān<br>winter
冰水	bīngshuǐ<br>ice water
看来～看來	kànlái<br>apparently, it seems that
同时～同時	tóngshí<br>at the same time
适应～適應	shìyìng<br>to adapt/adjust to
祝	zhù<br>to wish, express good wishes
身体～身體	shēntǐ<br>body, health
健康	jiànkāng<br>healthy, health
与～與	yǔ<br>and
寄	jì<br>to send, to post, to mail
存钱～存錢	cún qián<br>to save, to deposit money
敲	qiāo<br>to knock, to beat, to strike
茶叶～茶葉	cháyè<br>tea leaves
泡茶	pào chá<br>to make tea
邮局～郵局	yóujú<br>post office
包裹	bāoguǒ<br>package, parcel
怎么回事～怎麼回事	zěnme huí shì<br>what's the matter?
排队～排隊	pái dùi<br>to line up, to queue up
半天	bàntiān<br>quite a while
好不容易	hǎobù róngyì<br>with great difficulty, after all the trouble
柜台～櫃檯	guìtái <br>counter
职员～職員	zhíyuán<br>staff, employee
盒子	hézi <br>box, case, casket
最多	zuìduō<br>at most
生气～生氣	shēng qì<br>to take offense, to get angry
到底	dàodǐ<br>eventually, what on earth
银行～銀行	yínháng<br>bank
换～換	huàn<br>to exchange, to trade
门口～門口	ménkǒu<br>entrance, doorway, gate
随便～隨便	suíbiàn<br>be free and easy, random, randomly, casually
奇怪	qíguài<br>odd, strange, weird
外星人	wàixīngrén<br>aliens
似的	shì de<br>be like, as...as, as if
拿	ná<br>to hold, to take
号～號	hào<br>number
窗口	chuāngkǒu<br>window
根本	gēnběn<br>(not) at all, by any means
可笑	kěxiào<br>ridiculous, absurd
注意	zhùyì<br>to pay attention to, to take notice
要不然	yàobùrán<br>otherwise, or
闹笑话～鬧笑話	nào xiàohua<br>to become a laughing stock
入乡随俗～入鄉隨俗	rù xiāng suí sú<br>when in Rome, as the Romans do
烫～燙	tàng<br>very hot, to burn
篇	piān<br>MW for articles, chapters, paper
日记～日記	rìjì<br>diary, journal
晴	qíng<br>sunny, clear, cloudless, fine
好几～好幾	hǎojǐ<br>quite a few
美元	měiyuán<br>US Dollar, buck
人民币～人民幣	rénmínbì<br>RMB, unit of Chinese currency
比方说～比方說	bǐfāngshuō<br>for example
为～為	wèi<br>for
服务～服務	fúwù<br>to serve, service
态度～態度	tàidù<br>attitude, approach, manner
原因	yuányīn<br>cause, reason
坏～壞	huài<br>go bad
自然	zìrán<br>nature, natural, naturally
重要	zhòngyào<br>important, significant
附近	fùjìn<br>nearby, in the vicinity of
另外	lìngwài<br>another, in addition
不管	bùguǎn<br>no matter (what, how), regardless of
竞争～競爭	jìngzhēng<br>to compete
不过～不過	búgùo<br>however, but
共同点～共同點	gòngtóngdiǎn<br>commonality
玻璃	bōli<br>glass
挡～擋	dǎng<br>to shield, to protect from
交钱～交錢	jiāo qián<br>to pay money
方便	fāngbiàn<br>convenient
一般	yìbān<br>general, generally
其他	qítā<br>others, the rest, other, else
取钱～取錢	qǔ qián<br>to withdraw money
老太太	lǎotàitai<br>old lady, venerable Madam
万～萬	wàn<br>10,000
面前	miànqián<br>in the face of, in front of
数～數	shǔ<br>to count
安全	ānquán<br>safe, secure
网络～網絡	wǎngluò<br>network
手机～手機	shǒujī<br>cell phone
收到	shōudào<br>to receive, to get, to achieve
短信	duǎnxìn<br>text message
欸	ēi<br>used to call someone's attention
电脑～電腦	diànnǎo<br>computer
中心	zhōngxīn<br>center, core, hub
