自	zì from
远方	yuǎnfāng distant place
大厅	dàtīng lobby, hall
一切	yíqiè all, every, everything
顺利	shùnlì smooth, successful
感觉	gǎnjué to feel, to perceive, to sense
时差	shíchā jet lag, time difference
脑子	nǎozi brain
麻烦	máfan to cause trouble, to bother
起	qǐ to give (a name)
哪里	nǎlǐ modest response to a compliment
夸奖	kuājiǎng to praise, to commend, to compliment
过奖	guòjiǎng to overpraise
变化	biànhuà change
特别	tèbié especially
谦虚	qiānxū modest, unassuming
看来	kànlái it looks as if
经济	jīngjì economy
发展	fāzhǎn to develop, to expand
交际	jiāojì to socialize, to communicate
方式	fāngshì way (of life), method
改变	gǎibiàn to change, to transform, to shift
其实	qíshí in fact, actually
待	dāi to stay (for a comparatively short period)
好好儿	hǎohāor thoroughly, completely
印象	yìnxiàng impression
的哥	dīgē taxi driver
特点	tèdiǎn characteristic, distinguishing features
实话	shíhuà truth
习惯	xíguàn to get used to
热情	rèqíng enthusiastic, warm-hearted
好客	hàokè hospitable
亦	yì also (F)
乐	lè delightful (F)
乎	hū similar to 吗 in classical Chinese (F)
原来	yuánlái it turns out...
终于	zhōngyú at last, in the end, finally
畅通	chàngtōng (of a passage) unimpeded, smooth
倒	dǎo to change, to shift
半天	bàntiān quite a while
师傅	shīfu (a common way to address people such as driver, shop assistant)
赶时间	gǎn shíjiān in a rush
堵	dǔ jammed, stuck in traffic; to jam, to block
环	huán ring, road encircling the city
一天到晚	yì tiān dào wǎn all day long
笑话	xiàohua joke
抢	qiǎng to rob, to grab
图	tú to pursue, to seek, to desire
假	jiǎ to pursue, to seek, to desire
停车位	tíngchēwèi parking spot
费劲儿	fèi jìnr to consume much effort
新手	xīnshǒu to consume much effort
简直	jiǎnzhí almost, practically (expresses exaggeration)
杀手	shāshǒu killer
心声	xīnshēng heartfelt wishes, aspirations
肯定	kěndìng definitely, undoubtedly
熟悉	shúxī to be familiar with, to have an intimate knowledge of
不如	bùrú not as good as
厢	xiāng part of a car (i.e. trunk, body, hood)
加长	jiācháng to lengthen
耗	hào to consume, to cost
油	yóu oil
讲	jiǎng to pay attention to, to be particular about
排场	páichǎng grand style, ostentation
气派	qìpài glorious, luxurious
轿子	jiàozi sedan
根据	gēn jù according to
喜好	xǐ hào taste, favorite
耐用	nàiyòng durable
省	shěng to save, to use thriftily
伤脑筋	shāngnǎojīn to cause sb. enough, headache
保险	bǎoxiǎn insurance
干脆	gāncuì simply, just
意识	yìshí to realize (often followed by 到）
解决	jiějué to solve, to resolve
大力	dàlì vigorously, to go all out
修	xiū to build, to construct, to repair, to fix
建	jiàn to build, to establish
轻轨	qīngguǐ light rail
采取	cǎiqǔ to take (a policy, method, etc.)
措施	cuòshī measure, method
限制	xiànzhì to impose restrictions on, to limit
私家车	sījiāchē private car
数量	shùliàng quantity, amount
增长	zēngzhǎng to increase, to rise, to grow
成效	chéngxiào effectiveness
建筑	jiànzhù architecture
新颖	xīnyǐng new/novel
别致	biézhì unique, exquisite
化	huà -ize, -ify
疑惑	yíhuò to feel puzzled
古老	gǔlǎo (F) antique, old
随处可见	suí chù kě jiàn can be seen everywhere
答案	dá'àn answer
真正	zhēnzhèng genuinely, truly
代表	dàibiǎo to represent, representation
式	shì type, style
四合院	sìhéyuàn courtyard house
胡同	hútòng lane, alley
网上	wǎng shang online
朝	cháo to face
对称	duìchèn symmetrical
体现	tǐxiàn to embody, to reflect
等级	děngjí social rank
观念	guānniàn notion, concept, idea
审美	shěnměi aesthetics
之间	zhījiān between, among
巷子	xiàngzi small lane
于	yú (F) at, in, to
朝代	cháodài dynasty
至今	zhìjīn until now, so far, up to now
感受	gǎnshòu to feel, to experience
风俗	fēngsú custom
却	què yet, but
取而代之	qǔ'érdàizhī to replace someone or something
据说	jùshuō it is said that...
拆除	chāichú to take down (buildings, etc.)
理由	lǐyóu reason, argument
推倒	tuī dǎo to topple, to push over
搬	bān to move (to another place)
尽管	jǐnguǎn although, though
然而	rán'ér however
邻里	línlǐ (F) neighborhood
到底	dàodǐ (indicate a definite reply is requested)
明知	míngzhì sensible, wise
居住	jūzhù (F) to reside, to dwell
场所	chǎngsuǒ (F) location, place
失去	shīqù (F) to lose
个性	gèxìng individual character
大厦	dàshà mansion
上下水	shàngxiàshuǐ sewerage system
暖气	nuǎnqì heating
设施	shèshī facilities
危房	wēifáng dilapidated building, building in a state of disrepair
老百姓	lǎobǎixìng ordinary people
质量	zhìliàng quality
造福	zàofú to bring benefit to
既然	jìrán since, now that
适合	shìhé to suit, to fit
保留	bǎoliú to remain, to retain
